"seed","chunk","day","day_type","station","line","lat","lon","area","interchange","arrive","depart","observation_min","travel_from","travel_min","travel_mode"
"42","1","1","weekday","Kengeri","Purple","12.9137","77.4823","Southwest residential","","17:00","17:30","30","start","0","start"
"42","1","1","weekday","Jayadeva Hospital","Yellow","12.915","77.593","Hospital / transit hub","","18:17","18:47","30","Kengeri","47","motorbike"
"42","1","1","weekday","Vidhana Soudha","Purple","12.98","77.59","Government district","","19:15","19:45","30","Jayadeva Hospital","28","motorbike"
"42","2","2","weekday","Dasarahalli","Green","13.037","77.517","North residential","","06:30","07:00","30","start","0","start"
"42","2","2","weekday","Peenya","Green","13.028","77.522","Industrial-commercial","","07:08","07:38","30","Dasarahalli","8","motorbike"
"42","2","2","weekday","Majestic","Purple","12.9772","77.5721","Central interchange hub","Green","08:09","08:39","30","Peenya","31","motorbike"
"42","3","3","weekday","Banashankari","Green","12.915","77.573","South residential-temple","","11:00","11:30","30","start","0","start"
"42","3","3","weekday","Mysore Road","Purple","12.959","77.539","Industrial-residential","","11:54","12:24","30","Banashankari","24","motorbike"
"42","3","3","weekday","MG Road","Purple","12.9756","77.6065","CBD commercial-retail","","12:53","13:23","30","Mysore Road","29","motorbike"
"42","4","4","weekend","Jayadeva Hospital","Yellow","12.915","77.593","Hospital / transit hub","","06:30","07:00","30","start","0","start"
"42","4","4","weekend","MG Road","Purple","12.9756","77.6065","CBD commercial-retail","","07:27","07:57","30","Jayadeva Hospital","27","motorbike"
"42","4","4","weekend","Vidhana Soudha","Purple","12.98","77.59","Government district","","08:05","08:35","30","MG Road","8","motorbike"
"42","4","4","weekend","Peenya","Green","13.028","77.522","Industrial-commercial","","09:10","09:40","30","Vidhana Soudha","35","motorbike"
"42","4","4","weekend","Dasarahalli","Green","13.037","77.517","North residential","","09:48","10:18","30","Peenya","8","motorbike"
"42","5","4","weekend","Majestic","Purple","12.9772","77.5721","Central interchange hub","Green","17:00","17:30","30","start","0","start"
"42","5","4","weekend","Mysore Road","Purple","12.959","77.539","Industrial-residential","","17:46","18:16","30","Majestic","16","motorbike"
"42","5","4","weekend","Banashankari","Green","12.915","77.573","South residential-temple","","18:40","19:10","30","Mysore Road","24","motorbike"
"42","5","4","weekend","Kengeri","Purple","12.9137","77.4823","Southwest residential","","19:48","20:18","30","Banashankari","38","motorbike"
