name,line,lat,lon,area,interchange
Challaghatta,Purple,12.9716,77.5074,West terminus,
Kengeri,Purple,12.9137,77.4823,Southwest residential,
Kengeri Bus Terminal,Purple,12.9180,77.4870,Southwest bus hub,
Pattanagere,Purple,12.9260,77.5020,Residential west,
Jnanabharathi,Purple,12.9340,77.5100,University area,
Rajarajeshwari Nagar,Purple,12.9250,77.5190,Residential southwest,
Nayandahalli,Purple,12.9590,77.5210,Residential west,
Mysore Road,Purple,12.9590,77.5390,Industrial-residential,
Deepanjali Nagar,Purple,12.9630,77.5460,Residential west-central,
Attiguppe,Purple,12.9660,77.5530,West-central residential,
Vijayanagar,Purple,12.9710,77.5370,Residential-commercial west,
Hosahalli,Purple,12.9580,77.5290,Residential west,
Magadi Road,Purple,12.9770,77.5520,Old city west,
City Railway Station,Purple,12.9756,77.5700,Railway interchange,
Majestic,Purple,12.9772,77.5721,Central interchange hub,Green
Cubbon Park,Purple,12.9790,77.5910,CBD / government area,
Vidhana Soudha,Purple,12.9800,77.5900,Government district,
Sir M. Visvesvaraya,Purple,12.9790,77.5960,Central business,
MG Road,Purple,12.9756,77.6065,CBD commercial-retail,
Trinity,Purple,12.9720,77.6190,Central-east,
Halasuru,Purple,12.9810,77.6190,Old residential east,
Indiranagar,Purple,12.9784,77.6408,Commercial-nightlife hub,
Swami Vivekananda Road,Purple,12.9860,77.6530,East residential,
Baiyappanahalli,Purple,12.9910,77.6650,East old terminus,
Benniganahalli,Purple,12.9990,77.6770,East residential,
KR Puram,Purple,13.0000,77.6830,East railway junction,
Saraswati Nagar,Purple,13.0030,77.6870,East residential,
Garudacharpalya,Purple,13.0060,77.6930,East IT-residential,
Hoodi Junction,Purple,12.9960,77.7100,IT corridor east,
Sitharama Palya,Purple,12.9940,77.7040,IT corridor,
Kundalahalli,Purple,12.9920,77.7000,IT-residential east,
Nallurhalli,Purple,12.9900,77.7080,IT corridor east,
Sri Sathya Sai Hospital,Purple,12.9880,77.7140,IT corridor east,
Pattandur Agrahara,Purple,12.9860,77.7200,IT-residential east,
Kadugodi Tree Park,Purple,12.9850,77.7240,IT corridor east,
Channasandra,Purple,12.9930,77.7280,East residential,
Whitefield (Kadugodi),Purple,12.9940,77.7350,IT hub east terminus,
Madavara,Green,13.0520,77.5120,North terminus,
Chikkabidarakallu,Green,13.0490,77.5130,North residential,
Manjunathanagar,Green,13.0460,77.5150,North residential,
Nagasandra,Green,13.0450,77.5150,North industrial,
Dasarahalli,Green,13.0370,77.5170,North residential,
Jalahalli,Green,13.0340,77.5290,North residential-defence,
Peenya Industry,Green,13.0310,77.5190,Industrial zone,
Peenya,Green,13.0280,77.5220,Industrial-commercial,
Goraguntepalya,Green,13.0250,77.5290,Industrial north,
Yeshwanthpur,Green,13.0230,77.5440,Railway junction / market,
Sandal Soap Factory,Green,13.0160,77.5510,North-central residential,
Mahalakshmi,Green,13.0100,77.5540,North-central,
Rajajinagar,Green,13.0010,77.5560,Residential-commercial north,
Kuvempu Road,Green,12.9940,77.5620,North-central residential,
Srirampura,Green,12.9890,77.5670,Central residential,
Sampige Road,Green,12.9830,77.5730,Malleswaram / temple area,
Chickpet,Green,12.9690,77.5760,Old city market,
KR Market,Green,12.9620,77.5780,Wholesale market hub,
National College,Green,12.9560,77.5810,South-central residential,
Lalbagh,Green,12.9500,77.5840,Park-adjacent residential,
South End Circle,Green,12.9410,77.5860,South residential,
Jayanagar,Green,12.9310,77.5830,Residential-commercial south,
RV Road,Green,12.9260,77.5780,South residential interchange,Yellow
Banashankari,Green,12.9150,77.5730,South residential-temple,
JP Nagar,Green,12.9070,77.5700,South residential,
Yelachenahalli,Green,12.8960,77.5690,South residential,
Konanakunte Cross,Green,12.8860,77.5670,Far south residential,
Doddakallasandra,Green,12.8760,77.5650,Far south,
Vajarahalli,Green,12.8660,77.5640,Far south,
Thalaghattapura,Green,12.8570,77.5620,Far south,
Silk Institute,Green,12.8480,77.5610,South terminus,
Ragigudda,Yellow,12.9200,77.5850,South residential,
Jayadeva Hospital,Yellow,12.9150,77.5930,Hospital / transit hub,
BTM Layout,Yellow,12.9100,77.6010,South-central commercial,
Central Silk Board,Yellow,12.9060,77.6100,Major junction IT corridor,
Bommanahalli,Yellow,12.8950,77.6170,South-east residential,
Hongasandra,Yellow,12.8850,77.6230,South-east residential,
Kudlu Gate,Yellow,12.8750,77.6300,South-east residential,
Singasandra,Yellow,12.8650,77.6370,South-east residential,
Hosa Road,Yellow,12.8550,77.6430,South-east residential,
Beratena Agrahara,Yellow,12.8450,77.6490,Electronic City periphery,
Electronic City,Yellow,12.8400,77.6600,IT hub south,
Konappana Agrahara,Yellow,12.8350,77.6650,IT hub south,
Huskur Road,Yellow,12.8280,77.6700,South-east industrial,
Hebbagodi,Yellow,12.8200,77.6730,South-east industrial,
Bommasandra,Yellow,12.8100,77.6770,South-east terminus,
